LAMMPS data file via bulk2interface

7140 atoms
2772 bonds
8 atom types
3 bond types
0.009393 32.490607 xlo xhi
0.009393 32.490607 ylo yhi
-45.000000 45.000000 zlo zhi

Masses

   1   17.398  # F DC
   2    6.941  # Li
   3   22.189  # Na DC
   4   38.298  # K DC
   5   58.693  # Ni
   6    0.800  # F DP
   7    0.800  # Na DP
   8    0.800  # K DP

Bond Coeffs

   1  1260.755258     0.000000  # F DC-DP
   2  1260.755258     0.000000  # Na DC-DP
   3  1477.301745     0.000000  # K DC-DP

Atoms

   2954       0    1   1.9815  3.642594e+00  2.565597e+00 -1.164520e+01   # DC
    741       0    4   3.4894  1.610198e+01  2.203214e+00 -1.130558e+01   # DC
   1620       0    1   1.9815  4.811923e+00  1.369341e+01 -1.088295e+01   # DC
    781       0    4   3.4894  1.718726e+00  8.326953e+00 -1.229209e+01   # DC
    584       0    1   1.9815  1.198493e+01  7.661297e+00 -1.030655e+01   # DC
   2399       0    2   1.0000  1.066586e+00  1.578801e+01 -1.056201e+01  
    438       0    1   1.9815  1.052404e+01  1.622798e+01 -1.132842e+01   # DC
    993       0    4   3.4894  4.046910e+00  1.427542e+01 -8.002789e+00   # DC
   1424       0    1   1.9815  1.123892e+01  1.354742e+01 -7.883248e+00   # DC
   1048       0    1   1.9815  1.406090e+01  1.501808e+01 -1.297039e+01   # DC
    939       0    4   3.4894  5.479340e+00  2.167103e+00 -9.868438e+00   # DC
    631       0    4   3.4894  3.745097e+00  1.032237e+01 -1.379428e+01   # DC
    176       0    1   1.9815  5.466239e+00  1.616665e+01 -9.286107e+00   # DC
   3081       0    2   1.0000  2.464994e+00  2.728383e+00 -8.317321e+00  
   2108       0    1   1.9815  9.572908e+00  1.332090e+01 -1.291845e+01   # DC
    105       0    4   3.4894  8.895443e+00  7.469035e+00 -1.341560e+01   # DC
   1567       0    2   1.0000  2.508204e+00  9.845793e-01 -1.141809e+01  
   1132       0    1   1.9815  1.485505e+01  1.523725e+01 -1.010952e+01   # DC
   3174       0    1   1.9815  6.394782e+00  4.150602e+00 -1.111791e+01   # DC
   3086       0    1   1.9815  4.468473e-01  6.933733e-02 -1.388567e+01   # DC
    589       0    4   3.4894  4.746890e+00  9.456250e+00 -1.018969e+01   # DC
   3348       0    1   1.9815  2.416305e+00  1.204473e+01 -9.585614e+00   # DC
   1720       0    1   1.9815  1.539330e+01  4.722746e+00 -1.384962e+01   # DC
   2846       0    1   1.9815  6.706881e+00  6.168181e+00 -1.348669e+01   # DC
   3366       0    1   1.9815  1.008861e+00  1.907380e+00 -1.102194e+01   # DC
   2757       0    2   1.0000  1.489321e+01  5.532434e+00 -1.224514e+01  
   2603       0    2   1.0000  6.671562e+00  1.081835e+01 -7.811867e+00  
   3226       0    1   1.9815  1.813003e+00  1.369906e+01 -1.200637e+01   # DC
   1944       0    1   1.9815  1.150133e+01  3.604257e+00 -1.228046e+01   # DC
   2482       0    1   1.9815  7.912590e+00  1.553473e+01 -1.112257e+01   # DC
   2137       0    2   1.0000  2.151887e+00  3.459159e+00 -1.205140e+01  
   2819       0    2   1.0000  1.509989e+01  4.385116e+00 -9.346244e+00  
   3403       0    3   2.0065  1.142260e+01  1.435846e+01 -1.205556e+01   # DC
   1586       0    1   1.9815  1.357865e+01  9.488446e+00 -1.283602e+01   # DC
   3370       0    1   1.9815  7.744010e+00  1.290727e+01 -1.051617e+01   # DC
    655       0    4   3.4894  6.887795e+00  1.117804e-01 -1.475614e+01   # DC
   1025       0    4   3.4894  4.203108e+00  5.266504e+00 -1.090540e+01   # DC
    625       0    4   3.4894  1.185692e+01  1.126453e+01 -1.267884e+01   # DC
   3290       0    1   1.9815  6.048140e+00  3.441279e+00 -1.424409e+01   # DC
   3540       0    1   1.9815  2.149279e+00  2.666223e+00 -1.438988e+01   # DC
   1607       0    2   1.0000  1.089823e+01  4.758135e+00 -1.368272e+01  
   1712       0    1   1.9815  8.687285e+00  4.747569e+00 -1.397410e+01   # DC
   1022       0    1   1.9815  3.083457e+00  8.401121e+00 -1.498180e+01   # DC
   2610       0    1   1.9815  8.096273e+00  1.193140e+00 -8.744528e+00   # DC
    416       0    1   1.9815  3.757568e+00  1.671410e+00 -8.169389e+00   # DC
   1125       0    4   3.4894  1.274741e+01  2.804085e+00 -9.937106e+00   # DC
   2748       0    1   1.9815  1.370645e+00  1.061228e+01 -1.243788e+01   # DC
    850       0    1   1.9815  1.322263e+01  7.739003e+00 -1.480515e+01   # DC
   2162       0    1   1.9815  9.425135e+00  5.620344e+00 -9.176806e+00   # DC
   2585       0    2   1.0000  7.437163e+00  6.485780e+00 -9.458510e+00  
   2897       0    2   1.0000  7.763808e+00  1.387198e+01 -1.213831e+01  
   2615       0    2   1.0000  5.755354e+00  1.223028e+01 -1.103930e+01  
   3553       0    3   2.0065  1.255270e+01  1.458699e+01 -9.134240e+00   # DC
   1070       0    1   1.9815  6.283751e+00  1.367935e+01 -1.320250e+01   # DC
    843       0    4   3.4894  4.736000e+00  1.560290e+01 -1.280956e+01   # DC
   3251       0    3   2.0065  1.134424e+01  5.483219e+00 -1.031720e+01   # DC
   1672       0    1   1.9815  3.559565e+00  1.474670e+01 -1.498306e+01   # DC
     35       0    4   3.4894  3.301645e+00  5.491891e+00 -1.484595e+01   # DC
   2092       0    1   1.9815  1.153128e+01  6.189865e+00 -1.313373e+01   # DC
   3232       0    1   1.9815  2.160558e+00  4.375845e+00 -8.639273e+00   # DC
   3528       0    1   1.9815  4.001215e+00  7.661195e+00 -1.179133e+01   # DC
   2239       0    2   1.0000  5.437547e+00  2.359271e+00 -1.269354e+01  
   1091       0    4   3.4894  7.993424e+00  1.124184e+01 -1.441054e+01   # DC
   3355       0    3   2.0065  8.645904e-01  1.054393e+01 -1.039275e+01   # DC
   1221       0    4   3.4894  1.093501e+01  8.703009e+00 -7.658314e+00   # DC
   1077       0    4   3.4894  1.235062e+01  1.739600e+00 -1.328964e+01   # DC
